code,code_type,label,family,sector,synonyms
3422.0500,NCO,Marker/ Groundsmen & Women,Sports Coaches; Instructors and Officials Miscellaneous,Unclassified,coaches|groundsmen & women|instructors|marker|miscellaneous|officials|sports
3423.0101,NCO,Fitness Trainer/ Fitness Instructor,Fitness and Recreation Instructors; and Programme Leaders Miscellaneous,Unclassified,fitness|fitness instructor|fitness trainer|instructors|leaders|miscellaneous|programme|recreation
3423.0501,NCO,Lifeguard,Fitness and Recreation Instructors; and Programme Leaders Miscellaneous,Unclassified,fitness|instructors|leaders|miscellaneous|programme|recreation
3435.0100,NCO,Tattoo Artist,Other Artistic and Cultural Associates (Tattoo Artist; Floral Designer) Miscellaneous,Unclassified,(tattoo|artist|artistic|associates|cultural|designer)|floral|miscellaneous
3435.9900,NCO,Other Artistic and Cultural Associate Professionals; Lok Kalakar; Other,Other Artistic and Cultural Associate Professionals/ Lok Kalakar Miscellaneous,Unclassified,artistic|associate|cultural|kalakar|miscellaneous|professionals/
4226.0201,NCO,Showroom Hostess,Receptionist (General) & Front Desk Assistants Miscellaneous,Unclassified,(general)|assistants|front|miscellaneous|receptionist
4321.0601,NCO,Godown Workers,Stock Clerks Miscellaneous Warehouse Worker/ Railway,Unclassified,clerks|miscellaneous|railway|stock|warehouse|worker/
5152.0100,NCO,(Domestic),Domestic Housekeepers Miscellaneous Caretaker - House Keeper,Unclassified,caretaker|domestic|house|housekeepers|keeper|miscellaneous
5211.0301,NCO,Miscellaneous Sales Executive - Dealership,Stall and Market Salespersons (Tellecaller; Shop Attendant/Sales Assistant),Unclassified,(tellecaller|assistant)|attendant/sales|dealership|market|miscellaneous sales executive|salespersons|stall
5211.0302,NCO,Miscellaneous Tele - caller,Stall and Market Salespersons (Tellecaller; Shop Attendant/Sales Assistant),Unclassified,(tellecaller|assistant)|attendant/sales|caller|market|miscellaneous tele|salespersons|stall
5243.0100,NCO,Miscellaneous News Paper Boy,Delivery Boy/ Partner/ Delivery Associate for food & grocery/ Door-to- Door Salespersons (Hawkers etc),Unclassified,(hawkers|associate|delivery|door-to-|grocery/|partner/|salespersons
5243.0300,NCO,Miscellaneous Home Deliveryman,Delivery Boy/ Partner/ Delivery Associate for food & grocery/ Door-to- Door Salespersons (Hawkers etc),Unclassified,(hawkers|associate|delivery|door-to-|grocery/|partner/|salespersons
5243.0401,NCO,Miscellaneous Distributor Sales Representative,Delivery Boy/ Partner/ Delivery Associate for food & grocery/ Door-to- Door Salespersons (Hawkers etc),Unclassified,(hawkers|associate|delivery|door-to-|grocery/|partner/|salespersons
5243.0501,NCO,Miscellaneous Field Sales Executive (FSE),Delivery Boy/ Partner/ Delivery Associate for food & grocery/ Door-to- Door Salespersons (Hawkers etc),Unclassified,(hawkers|associate|delivery|door-to-|grocery/|partner/|salespersons
5243.9900,NCO,Miscellaneous Delivery Boy/ Partner/ Delivery Associate for food & grocery/,Delivery Boy/ Partner/ Delivery Associate for food & grocery/ Door-to- Door Salespersons (Hawkers etc),Unclassified,(hawkers|associate|delivery|delivery associate for food & grocery|door-to-|grocery/|miscellaneous delivery boy|partner
8350.0600,NCO,Boat Rower,Ships? Deck Crews and Related Workers Miscellaneous,Unclassified,crews|miscellaneous|ships?
9520.0100,NCO,Hawker,Street Vendors (Food and Excluding Food) Miscellaneous,Unclassified,(food|excluding|food)|miscellaneous|street|vendors
